,"#{""t_start"": 1599468681.6647098"," ""env_id"": null}"
r,l,t
-2960.230945,3000,21.644745
-2933.835723,3000,42.011841
-2833.58718,3000,58.212435
-2778.77323,3000,76.042587
-2846.827583,3000,92.821718
-2776.840172,3000,111.45305
-2825.57923,3000,129.013113
-2699.799759,3000,145.761582
-1640.511436,3000,163.346624
-1354.736933,3000,180.183301
-2048.839512,3000,198.010338
-471.407355,3000,215.879678
-280.888378,3000,232.566356
-1944.700889,3000,250.040263
-323.087675,3000,266.231576
-382.241868,3000,283.577557
-1625.900905,3000,300.761008
-564.293126,3000,317.558521
-1938.660934,3000,334.837371
-876.769608,3000,351.133816
-732.168854,3000,368.238404
-1679.774781,3000,385.640293
-965.832384,3000,402.043269
-712.885355,3000,420.443936
-1776.491326,3000,440.97084
-694.442701,3000,464.222423
-815.649254,3000,487.37324
-752.619307,3000,508.062909
-1439.874296,3000,525.717289
-2034.367201,3000,544.895719
-1186.377374,3000,566.56277
-1218.308594,3000,586.534072
-1198.192572,3000,603.050423
-2742.254674,3000,620.544098
-1807.621168,3000,637.065254
-2144.058825,3000,654.357196
-1856.367239,3000,671.684015
-979.755294,3000,688.094418
-2120.639329,3000,705.412256
-2175.319868,3000,721.819164
-904.906022,3000,739.1317
-335.402836,3000,756.504637
-335.776406,3000,772.943254
-887.581341,3000,790.776367
-949.306388,3000,807.133637
-285.467176,3000,824.528727
-2081.950582,3000,841.947561
-650.133218,3000,858.453454
-579.794587,3000,875.906474
-709.023943,3000,892.441638
-386.396701,3000,909.97186
-196.973014,3000,927.055311
-201.381145,3000,943.104129
-184.259409,3000,959.98653
-237.713792,3000,975.984195
-2821.776775,3000,992.885783
-250.4662,3000,1009.781375
-207.982235,3000,1025.78474
-400.068459,3000,1042.680634
-2814.543385,3000,1058.877798
-2679.340529,3000,1079.349729
-2971.396193,3000,1101.380162
-2837.036532,3000,1117.942716
-1782.528807,3000,1135.485265
-1085.003215,3000,1152.068591
-2785.01934,3000,1169.62693
