,"#{""t_start"": 1599394331.423587"," ""env_id"": null}"
r,l,t
-1973.329135,3000,17.608738
-255.215206,3000,34.615763
-124.090686,3000,50.725167
-123.524828,3000,67.762282
-375.943378,3000,83.866914
-108.643055,3000,101.076904
-109.544383,3000,118.366297
-120.393221,3000,134.750237
-96.897796,3000,152.076447
-86.385426,3000,168.495496
-80.02845,3000,185.624604
-78.568528,3000,203.095583
-83.631601,3000,219.746517
-84.868544,3000,237.938642
-76.307783,3000,254.852825
-92.632394,3000,271.915958
-119.300823,3000,288.945026
-84.521286,3000,304.949158
-77.17325,3000,321.841497
-74.399519,3000,337.888856
-83.30443,3000,355.045695
-86.461675,3000,371.901918
-87.110577,3000,387.982069
-83.756994,3000,405.878283
-339.133417,3000,421.971733
-87.005886,3000,438.920024
-69.745937,3000,455.920392
-77.443223,3000,472.05695
-237.981923,3000,489.309907
-109.038294,3000,505.718714
-69.277973,3000,522.781947
-81.446524,3000,540.256783
-81.914379,3000,556.747193
-79.119422,3000,574.430214
-98.961292,3000,591.14355
-84.187724,3000,608.78
-75.539095,3000,626.366845
-82.555652,3000,643.049118
-75.742437,3000,660.656695
-94.12434,3000,677.369543
-73.198732,3000,694.87052
-76.751123,3000,712.252409
-91.262924,3000,728.435721
-81.231085,3000,745.532059
-85.669703,3000,761.726005
-82.783719,3000,779.158963
-89.739393,3000,796.218539
-86.375782,3000,812.411392
-95.460947,3000,829.387896
-81.627257,3000,845.478591
-78.007618,3000,862.47041
-76.181388,3000,879.523988
-87.705677,3000,895.711162
-76.581968,3000,912.732326
-76.83191,3000,928.867348
-163.025373,3000,945.853798
-174.447994,3000,962.765116
-168.988323,3000,978.794983
-135.955832,3000,995.982373
-114.332122,3000,1012.197919
-96.872673,3000,1029.398305
-107.475092,3000,1046.42964
-98.697417,3000,1071.77174
-92.193889,3000,1089.275727
-89.291438,3000,1105.784499
-139.922618,3000,1123.333694
